,Retail_Product_Level1Name,Retail_Product_Color,Retail_Product_Size,Retail_Product_Style,Retail_Product_Name,Retail_Product_SKU,Retail_SOHQTY,Retail_CCQTY,_merge,Diff,Unders
0,VESTUARIO,BRANCO,P,KIT CALCINHA,CALCINHA CR SLO ELLA ESTAMPADO CINZA P B,9568860004,1,1,both,0,0
1,VESTUARIO,ROSA,40,BOTTOM CURTO SARJA,BERMUDA SARJA CRN SLO INK ABERTURA BARRA,9384260002,3,1,both,-2,2
2,ELETRO-ELETRONICOS,OTHER,OTHER,KIT FEMININO PRATA,RELOGIO FEM MONDAINE PRATA KIT COLAR ANA,9735510000,1,1,both,0,0
3,VESTUARIO,JEANS,38,CALÇA JEANS,CALCA JEANS CF MSA INK USED TANK DIRT LI,9579550002,3,3,both,0,0
4,VESTUARIO,JEANS,52,BOTTOM CURTO JEANS PLUS,SHORT JEANS PS PRD BARRA DOBRADA E PREGA,9633210004,2,0,left_only,-2,2
5,VESTUARIO,CINZA,GG,CAMISOLA / ROBE,CAMISOLA MANGA CURTA JV CN SLO DISNEY V,9297040008,3,3,both,0,0
6,VESTUARIO,VERDE,42,CALÇA SARJA,CALCA CM EVT JNS MSA INK JOGGER CAMUFLAD,9440550005,1,0,left_only,-1,1
7,VESTUARIO,JEANS,34,CALÇA JEANS,CALCA JEANS JV MSA INK VISTA ABOTOADA ST,9383950001,3,0,left_only,-3,3
8,VESTUARIO,JEANS,36,CALÇA JEANS,CALCA JEANS  BIO MARCA DE TERCEIROS Jogg,9697910002,1,0,left_only,-1,1
9,VESTUARIO,PRETO,42,SOUTIEN / TOP,SOUTIEN APP5 SNS PP SLO PUSH UP LUTESTIL,7575540002,1,1,both,0,0
10,ELETRO-ELETRONICOS,OTHER,OTHER,TABLET WIFI ANDROID,TABLET SAMS A7 32GB LITE GRAFITE WIFI  3,9296480000,3,3,both,0,0
11,VESTUARIO,JEANS,44,CALÇA JEANS,CALCA JEANS CF PRD INK USED TANK PUIDOS,9479600005,2,1,both,-1,1
12,VESTUARIO,ROSA,48,BOTTOM CURTO SARJA PLUS,BERMUDA SARJA PS SLO INK ABERTURA BARRA,9383760002,1,1,both,0,0
13,VESTUARIO,VERMELHO,GG,SHORT DOLL,SHORT APP DOLL SEM MANGA SNS SLO ELLA LI,8907110003,1,0,left_only,-1,1
14,VESTUARIO,JEANS,46,CALÇA JEANS,CALCA JEANS CRN MSA INK SKY USED TANK BA,9479810002,1,0,left_only,-1,1
15,VESTUARIO,VERDE,36,BOTTOM CURTO SARJA,SHORT   INK LISO 07FE00754 VERDE 36 VERD,9585500009,1,0,left_only,-1,1
16,VESTUARIO,JEANS,50,TOP PLUS,BLUSA MANGA CURTA JEANS PS PRD INK MANGA,9427230004,2,0,left_only,-2,2
17,VESTUARIO,VERDE,38,BOTTOM CURTO SARJA,SHORT JEANS CRN MSA INK AMASSADINHO VERD,9630400003,2,1,both,-1,1
18,VESTUARIO,VERDE,44,CALÇA SARJA,CALCA SARJA CRN MSA INK PUSH UP BOLSO SE,9415660009,1,0,left_only,-1,1
19,VESTUARIO,PRETO,P,SHORT DOLL,SHORT DOLL SEM MANGA CJ ELLA LISO PRETO,9649150004,1,1,both,0,0
20,VESTUARIO,VINHO,40,CALÇA SARJA,CALCA CM MSA INK SLIM VINHO EMP 5 POCKET,9440750005,2,0,left_only,-2,2
21,VESTUARIO,VERDE,M,SHORT DOLL,SHORT DOLL SEM MANGA CR PRD ELLA RENDA F,9470370001,1,1,both,0,0
22,VESTUARIO,PRETO,8,CALÇA,CALCA C8 SLO EVT LCM INFO INK COS DE ELA,9275450001,3,2,both,-1,1
23,VESTUARIO,MARROM,UNICO,ÓCULOS METAL,OCULOS  C5 MSA MAIS ACESSORIOS MET UNI M,9683600001,1,1,both,0,0
24,VESTUARIO,BRANCO,GG,CALCINHA / BOTTOM,3 CALCINHAS APP TRS MFB GATINHOS BRC PIN,7797270004,4,1,both,-3,3
